variant,removed_family,n_weights_zeroed,ndcg@10,ndcg@50,map,p@10,mean_silver@100,composite,delta_composite_from_full
full,-,0,0.7930624278214711,0.8932169643699532,0.9509198822888859,1.0,3.78,0.8571342855650544,0.0
without_semantic_jd_fit,semantic_jd_fit,5,0.7930624278214711,0.9013883032947643,0.9512267067941863,1.0,3.78,0.8596317109182927,0.0024974253532382695
without_skill_evidence,skill_evidence,4,0.8103105187781131,0.8907904535714248,0.9490701359090822,1.0,3.79,0.8647529158468463,0.007618630281791883
without_career_trajectory,career_trajectory,5,0.6509120588360441,0.7873193618971196,0.9292563014595558,0.8,3.48,0.7410402832060913,-0.11609400235896317
without_production_evidence,production_evidence,4,0.8103105187781131,0.9160440429393784,0.9591297617866278,1.0,3.79,0.8738379365388643,0.01670365097380988
without_behavioral,behavioral,5,0.7954486293341305,0.8977723001065226,0.9514737034287555,1.0,3.81,0.8597770602133354,0.002642774648280999
without_logistics,logistics,3,0.7968888952334713,0.8974910758160388,0.9393740728342903,1.0,3.75,0.8585978812866908,0.001463595721636346
without_integrity_risk,integrity_risk,2,0.7930624278214711,0.8899709251800476,0.9509310041858241,1.0,3.78,0.8561621420926234,-0.0009721434724310196
