ranker,composite,ndcg@10,ndcg@50,ndcg@100,map,p@10,p@50,p@100,honeypot_rate@100,mean_silver@100,labeled_ndcg@10,labeled_p@10,labeled_map,runtime_sec
weighted_reranker_top100,0.7762,0.7930624278214711,0.8932169643699532,0.9069512930596463,0.4115011364794646,1.0,1.0,1.0,0.0,3.78,0.9621506647259974,1.0,0.5716527808624942,0.0
weighted_reranker_top100_no_honeypot_gate,0.7762,0.7930624278214711,0.8932169643699532,0.9069512930596463,0.4115011364794646,1.0,1.0,1.0,0.0,3.78,0.9621506647259974,1.0,0.5716527808624942,0.0
skill_count,0.7734,0.7980618295464729,0.794454836016245,0.8220006129355828,0.5738456123150761,1.0,0.88,0.91,0.0,3.41,0.9487208331680141,1.0,0.835924777332341,0.2
bm25,0.75,0.7312847015898124,0.8400372269468938,0.8489224341151802,0.5826162155938471,0.9,0.9,0.93,0.0,3.53,0.9763029089076123,1.0,0.827522244393116,67.7
hybrid_v2_rrf,0.6865,0.6036334977643998,0.7385966635577387,0.7862916383413348,0.8209376771440449,0.8,0.88,0.91,0.0,3.41,0.9787142205895947,1.0,1.0,68.8
dense_v2,0.611,0.5982309584300967,0.7045338738114634,0.772110302515121,0.3704593615826087,0.9,0.86,0.9,0.0,3.34,1.0,1.0,0.5074593470199755,3.8
random,0.4091,0.4129145773519904,0.450886130781377,0.4772581775337163,0.3494757361100707,0.3,0.3,0.33,0.0,2.01,0.3128372173530021,0.3,0.40750686503412736,0.1
