ranker,ndcg@10,ndcg@50,ndcg@100,map,p@10,p@50,p@100,honeypot_rate@100,mean_silver@100,labeled_ndcg@10,labeled_p@10,labeled_map,runtime_sec
random,0.4129145773519904,0.450886130781377,0.4772581775337163,0.3494757361100707,0.3,0.3,0.33,0.0,2.01,0.3128372173530021,0.3,0.40750686503412736,0.1
skill_count,0.7980618295464729,0.794454836016245,0.8220006129355828,0.5738456123150761,1.0,0.88,0.91,0.0,3.41,0.9487208331680141,1.0,0.835924777332341,0.3
bm25,0.7312847015898124,0.8400372269468938,0.8489224341151802,0.5826162155938471,0.9,0.9,0.93,0.0,3.53,0.9763029089076123,1.0,0.827522244393116,91.2
dense,0.40172204758387586,0.395595665014061,0.4069175341507622,0.38898882631860976,0.5,0.34,0.35,0.0,1.7,0.7032296595016538,0.8,0.529098713134275,6.4
hybrid_rrf,0.6342322776163714,0.641746966273883,0.6450463696287952,0.6588691592924749,0.9,0.6,0.62,0.0,2.64,0.9567033416629434,1.0,0.9856711731611301,89.3
